page,filepath,noise_mad,noise_wavelet,noise_laplacian,time_calculate_noise_features,edge_density,edge_strength,time_calculate_edge_features,print_pattern_energy,print_pattern_variance,time_calculate_print_pattern_features,histogram_entropy,histogram_spread,time_calculate_histogram_features,dct_high_freq_mean,dct_low_freq_var,time_calculate_dct_features,high_freq_energy,moire_score,halftone_score,time_analyze_frequency_domain,ela_mean,ela_variance,ela_regional_var,time_enhanced_ela_analysis,saturation_variance,value_variance,time_calculate_color_features,blocking_artifacts,double_compression_likelihood,time_check_jpeg_artifacts,clone_detection_score,time_detect_clones,luminance_gradient_var,time_analyze_luminance_gradients,phash,time_calculate_phash,meta_basic_title,meta_basic_author,meta_basic_creator,meta_basic_producer,meta_basic_creation_date,meta_basic_modification_date,meta_basic_time_extract_pdf_metadata,meta_forensic_software_indicators,meta_forensic_date_anomalies,meta_forensic_metadata_anomaly_score,meta_forensic_error_exiftool,meta_forensic_raw_exif,meta_forensic_time_enhanced_metadata_analysis,document_type_label
5,original_docs\HL25ARU000191509 - MORTAGE DEED- ORG.pdf,0.0,0.0,1264.1215624772988,0.13343210000130057,0.0470929726337721,704.5868766476676,0.08967689999917638,215.69173175768788,420.04771187108247,0.4656427999998414,3.122636318206787,256.0,0.0016929000012169126,5.577168305911268,927661.0439389175,0.0073863999987224815,181.90247049259546,203.7822232742773,76.0,0.04798850000042876,0.6300430352056112,1.4303140093969917,0.5213231504287067,0.11131559999921592,0.0,2284.6193337682275,0.047700999999506166,5.972780704498291,0.4035802834067921,0.15911729999970703,0.0,0.15438109999922744,34118.22358378352,0.09934690000045521,ee16dc4bd20ed28c,0.017288399998506065,,,PDFium,PDFium,D:20250430131636,,0.018927199998870492,[],False,0.0,Exiftool not found,{},0.007400899999993271,original
6,original_docs\HL25ARU000191509 - MORTAGE DEED- ORG.pdf,3.0,1.0483421514997082,543.292213993268,0.20162039999922854,0.02770650593113254,609.9037962659115,0.10206590000052529,210.92356625655964,477.3060673155914,0.5955725999992865,4.550767421722412,256.0,0.0012537999991764082,4.445594581597063,921010.3061540305,0.008813600001303712,177.4689846679706,201.99638202979483,71.0,0.04211120000036317,0.9291172766857616,1.307526492521931,0.5696868149457232,0.13199159999930998,0.0,1989.2236602492128,0.05622550000043702,4.432218074798584,0.2349767412152235,0.1816464999992604,0.0,0.12062250000053609,17121.25457699865,0.1171422999996139,ac3de1e06883979e,0.020063199999640347,,,PDFium,PDFium,D:20250430131636,,0.018927199998870492,[],False,0.0,Exiftool not found,{},0.007400899999993271,original
7,original_docs\HL25ARU000191509 - MORTAGE DEED- ORG.pdf,0.0,0.0,395.00646077759745,0.1308043999997608,0.037584321325194875,462.0857992363082,0.09345140000004903,209.59883059158216,512.4166998692867,0.44477809999989404,2.539367198944092,256.0,0.0014420999996218598,4.7000034686134775,965965.9669747233,0.007265000000188593,176.74191788030447,205.44952333512398,84.0,0.05341720000069472,0.49045721239202034,1.1970979157781048,0.4359522133946962,0.10770039999988512,0.0,1243.6953661815542,0.046317500000441214,3.6224772930145264,0.4188792712534922,0.15336350000143284,0.0,0.17462630000045465,13567.060145244044,0.10020559999975376,be934cc31cc31dca,0.017409199999747216,,,PDFium,PDFium,D:20250430131636,,0.018927199998870492,[],False,0.0,Exiftool not found,{},0.007400899999993271,original
8,original_docs\HL25ARU000191509 - MORTAGE DEED- ORG.pdf,0.0,0.0,400.25490797894713,0.12806129999989935,0.03735019257817061,462.3449517079855,0.08389809999971476,209.58432347152657,499.0135013425286,0.35024689999954717,2.250450611114502,256.0,0.0013449999987642514,4.610895103429444,969945.7713053518,0.0074112000002060086,176.6609821889941,204.94963474147835,63.0,0.0443448999994871,0.4484270802007732,1.1737135741386373,0.44474699401027823,0.10645560000011756,0.0,1203.03208553852,0.04792530000122497,3.5212619304656982,0.4500486076545137,0.15922189999946568,0.0,0.15209820000018226,13463.557633348493,0.09620849999919301,ebb4cb96e807e023,0.01764980000007199,,,PDFium,PDFium,D:20250430131636,,0.018927199998870492,[],False,0.0,Exiftool not found,{},0.007400899999993271,original
9,original_docs\HL25ARU000191509 - MORTAGE DEED- ORG.pdf,0.0,0.0,460.7639775712629,0.13474049999967974,0.045021347226609894,442.1106048793715,0.0918987000004563,210.96751860011423,473.71760013084776,0.40200950000144076,2.822589159011841,256.0,0.001291099999434664,4.961367237040707,959488.9392700804,0.007453800000803312,177.88238970419943,203.88926493221967,73.0,0.0543245000008028,0.5801269617169983,1.3785348917671045,0.5231792898199683,0.11210490000121354,0.0,1221.3412853307766,0.052416699998502736,4.1453351974487305,0.40713494224377333,0.1565902999991522,0.0,0.16450410000106785,14407.76888820417,0.09850050000022748,bbec9307c413c473,0.017676299999948242,,,PDFium,PDFium,D:20250430131636,,0.018927199998870492,[],False,0.0,Exiftool not found,{},0.007400899999993271,original
10,original_docs\HL25ARU000191509 - MORTAGE DEED- ORG.pdf,0.0,0.0,108.85230817748123,0.12677280000025348,0.007691090794600906,547.368604486853,0.08361409999997704,197.4590176755002,512.0254770612712,0.40727160000096774,1.3332886695861816,256.0,0.001280399999814108,2.5031273839013526,1015937.4648489074,0.008276599999589962,164.84756392721934,195.10032325210312,37.0,0.04195919999983744,0.17429154157790647,0.3862935052400406,0.23871155199292407,0.10363549999965471,0.0,542.9784338809245,0.04688939999869035,0.9560918211936951,0.37079672608010394,0.1517638999994233,0.0,0.11122810000051686,4360.328933760791,0.1007540999999037,b1cecf31ccc30e31,0.01750260000153503,,,PDFium,PDFium,D:20250430131636,,0.018927199998870492,[],False,0.0,Exiftool not found,{},0.007400899999993271,original
11,original_docs\HL25ARU000191509 - MORTAGE DEED- ORG.pdf,0.0,0.0,390.5130662515429,0.135011399999712,0.03950611575428064,437.918524841348,0.08679909999955271,209.23350072442207,486.56257284015754,0.3943498999997246,2.3364460468292236,256.0,0.001586600001246552,4.5254434947209825,970003.3350151802,0.009084400000574533,176.23698547919804,203.3929836023508,69.0,0.05545440000059898,0.4668588155358012,1.1818445322830164,0.4858203571338466,0.08818340000107128,0.0,1103.7981651423086,0.04777210000065679,3.5469748973846436,0.43363764746940325,0.15211809999891557,0.0,0.18792560000110825,12655.302456211612,0.10090779999882216,bfc8c137c0c29ee1,0.01774239999940619,,,PDFium,PDFium,D:20250430131636,,0.018927199998870492,[],False,0.0,Exiftool not found,{},0.007400899999993271,original
12,original_docs\HL25ARU000191509 - MORTAGE DEED- ORG.pdf,0.0,0.0,108.69623685614117,0.12717369999882067,0.006846692044625444,572.9706083136355,0.08125309999923047,197.84406326586773,493.7423958402159,0.2878569000004063,1.3367844820022583,256.0,0.0013267000013001962,2.523264238224157,1017602.0304495351,0.009709100000691251,164.97765514492073,194.74460242435092,39.0,0.04760290000012901,0.17395104737519435,0.3826178104305065,0.17123335472181175,0.10824499999944237,0.0,482.2485553934908,0.04811180000069726,0.9219903945922852,0.37289816701421585,0.15750210000078368,0.0,0.11813740000070538,4178.156959729417,0.09998950000044715,b3cccd33cc336431,0.01880170000004,,,PDFium,PDFium,D:20250430131636,,0.018927199998870492,[],False,0.0,Exiftool not found,{},0.007400899999993271,original
13,original_docs\HL25ARU000191509 - MORTAGE DEED- ORG.pdf,0.0,0.0,450.8528371178906,0.1303810000008525,0.03877445257961378,419.85694293321956,0.08546799999930954,211.86900537748178,422.4940501955935,0.44662500000049477,2.898575782775879,256.0,0.0014778999993723119,4.681298703650338,912332.3465234262,0.007825900000170805,178.21765453321498,204.84398220815,60.0,0.04828259999885631,0.49262903448510836,1.2526705706061965,0.5219286337022191,0.10779399999955785,0.0,3059.3615381739114,0.04812090000086755,3.5384931564331055,0.44760654046209813,0.15454719999979716,0.0,0.14364050000040152,12177.920268305288,0.09838130000025558,f65989268b9db425,0.01713019999988319,,,PDFium,PDFium,D:20250430131636,,0.018927199998870492,[],False,0.0,Exiftool not found,{},0.007400899999993271,original
14,original_docs\HL25ARU000191509 - MORTAGE DEED- ORG.pdf,0.0,0.0,417.8330878725554,0.12781689999974333,0.047564376809414985,391.71893941254444,0.09103520000098797,209.64468931615065,479.2245269800059,0.41176459999951476,2.770685911178589,256.0,0.0017828999989433214,4.248746691219804,947234.1130091979,0.00849949999974342,176.53001304121852,203.60492086116145,64.0,0.05840369999896211,0.5259948113367863,1.2413749452469962,0.41661985087535636,0.11423939999986032,0.0,1929.950441562675,0.05138290000104462,3.779348373413086,0.40045068505713916,0.15476090000083786,0.0,0.17140399999880174,12430.703410226453,0.10011170000143466,eaf16985a4c4d64b,0.017982500001380686,,,PDFium,PDFium,D:20250430131636,,0.018927199998870492,[],False,0.0,Exiftool not found,{},0.007400899999993271,original
