noise_mad,noise_wavelet,noise_laplacian,time_calculate_noise_features,edge_density,edge_strength,time_calculate_edge_features,print_pattern_energy,print_pattern_variance,time_calculate_print_pattern_features,ela_mean,ela_variance,time_calculate_ela,saturation_variance,value_variance,time_calculate_color_features,histogram_entropy,histogram_spread,time_calculate_histogram_features,high_freq_energy,moire_score,halftone_score,time_analyze_frequency_domain,page,type
3.0,0.0,109.23138147862278,0.43419790000007197,0.017799312047983656,32.80403209978577,0.1987061999998332,211.04026502473985,367.97449535772,0.33052449999968303,0.5050257416033341,0.5522707725848717,0.3274496000003637,0.0,1509.8687649942995,0.12272540000003573,4.399055004119873,256.0,0.0032334000002265384,176.11310637543926,248.53377191411136,131.0,0.196114000000307,26,original
5.0,1.0483421514997082,273.27816076512283,0.41059039999981906,0.05098496109549887,67.8213777002908,0.20416560000012396,220.92721384022244,352.96908146703515,0.3739604000002146,0.7412789390288651,1.0068099823719925,0.3265258999999787,0.0,2790.880525450441,0.12341349999996964,5.5434770584106445,256.0,0.0025802000000112457,186.31520793913168,252.21644541721852,126.0,0.18729290000010224,1,original
4.0,1.0483421514996663,176.75990556936452,0.4241922999999588,0.030804032000381662,48.017734650994434,0.2017033000001902,216.64426701824482,344.7660359258109,0.26842460000034407,0.5708969429120563,0.6731935094371868,0.32898960000011357,0.0,1709.4752012676497,0.12452439999970011,4.955689430236816,256.0,0.002126999999745749,180.87095358791024,246.24252434123332,121.0,0.23678930000005494,2,original
3.0,0.0,148.97082169490716,0.3608539000001656,0.02704245339149027,40.192844715555424,0.2003738000003068,214.92666871866425,377.19932173483875,0.39095709999992323,0.5138624480260657,0.6339085867992452,0.3209222000000409,0.0,1913.2525282884937,0.1261632999999165,4.567713737487793,256.0,0.0025595000001885637,179.47650962164047,248.56483204978738,104.0,0.1971929999999702,3,original
4.0,1.0483421514997082,85.90430236589138,0.3599254999999175,0.01720403689403886,30.652668692221535,0.16386460000012448,201.3092500330997,314.3803006710158,0.2679868999998689,0.7245233802530523,0.6412422295885405,0.2796485000003486,0.0,795.1059126940277,0.10694180000018605,5.213961601257324,256.0,0.0018574000000626256,174.79201825019143,236.29956078954592,116.0,0.14922169999999824,4,original
5.0,1.0483421514997082,82.91126876034964,0.38561170000002676,0.01945612233060226,31.042577540736417,0.16535530000010112,200.48721076612313,298.4982999323618,0.21915850000004866,0.742512620926472,0.6740587953631125,0.28610719999960565,0.0,988.1026131000424,0.11180719999993016,5.434275150299072,256.0,0.002348999999867374,173.43118781048614,238.0362029365753,120.0,0.19388119999985065,5,original
3.0,0.0,59.618461258183885,0.320650999999998,0.02119988613720467,22.191227047682524,0.17238259999976435,199.18882893244464,353.96938284609973,0.2009381999996549,0.4723487617421008,0.5975733537993514,0.25888050000003204,0.0,1543.5043558712657,0.10658849999981612,4.481769561767578,256.0,0.001991000000089116,170.34803891108643,242.2189314187114,119.0,0.14170319999993808,6,original
3.0,1.0483421514996978,155.49185170996552,0.3520051999998941,0.02944169217184018,38.12003437016041,0.1727416000003359,209.27407622079548,319.66691109583536,0.22798969999985275,0.6258063400079826,0.7117441743353096,0.2759452999998757,0.0,1292.1688551955135,0.10617390000015803,5.141726016998291,256.0,0.0016074999998636486,178.41137806959898,240.6528004467655,129.0,0.19076319999976477,7,original
2.0,0.0,54.20491924525706,0.36208739999983663,0.012417023569950177,19.296336892171833,0.16805210000029547,200.53776369365715,333.03876186902863,0.2518838000000869,0.48559028076391636,0.45070626173276757,0.25797510000029433,0.0,542.4410340866514,0.10588839999991251,4.284755229949951,256.0,0.0018665999996301252,169.0636059971958,237.67987855177802,99.0,0.18292419999988851,8,original
9.0,1.0483421514997082,201.275439367426,0.33097849999967366,0.08503886016009654,64.6828584631578,0.1884541999997964,216.07807604796403,330.8203350795966,0.2684385000002294,0.7668206207337307,0.9962631814432308,0.29116060000023936,0.0,3074.653863405529,0.11060039999983928,6.001069068908691,256.0,0.0019462000000203261,183.9682718167238,250.27953581381956,98.0,0.14892860000009023,1,original
